行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,至誠路,一段62號巷口對面,121.536216,25.101491,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,仰德大道,一段91巷口芝蘭新村站牌,121.5373268,25.107347,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段1號對面公園,121.5252778,25.10333333,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,六段76號,121.5249448,25.1044614,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號文昌橋下,121.520312,25.099756,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至誠路,一段78號對面,121.536216,25.101491,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,雨聲街,185號對面,121.533536,25.10219,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,雨聲街,36號,121.5291667,25.10194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,仰德大道,一段28號對面,121.537492,25.102211,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號文昌橋下,121.520312,25.099756,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號,121.520583,25.10029,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,文昌路,211之3號,121.520583,25.10029,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,雨聲街,185號,121.533601,25.101945,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,仰德大道,(華興中學),121.538356,25.104144,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,仰德大道,四段75號公車站牌旁(格致國中),121.5469444,25.13083333,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,愛富一街,旁公車站牌旁(一)文化大學公車站,121.546522,25.13802,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,愛富一街,愛富一街旁公車站牌旁(二)文化大學公車站,121.546522,25.13802,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,和平路,10號旁(一)文化大學公車站,121.546582,25.138675,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,和平路,10號旁(二)文化大學公車站,121.546582,25.138675,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,格致路,167巷斜對面公車站牌,121.549857,25.140821,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,格致路,166巷斜對面公車站牌旁,121.549631,25.14084,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,大亨路,公車站牌旁(中國大飯店),121.549231,25.142859,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,凱旋路,(觀景台),121.539387,25.133984,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,凱旋路,(觀景台),121.539387,25.133984,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,六段308號(社子國小左側邊),121.5030556,25.08972222,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,六段308號(社子國小大門對面公車亭旁),121.5025592,25.0892463,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,七段250號福安國中(左側近臨江園),121.4886111,25.10222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,七段250號福安國中(左側),121.4880556,25.10277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,七段250號福安國中大門口(靠近UBIKE處),121.487786,25.103252,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路    ,七段250號福安國中(右側公車亭內),121.4872524,25.1031533,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路    ,六段308號(社子國小大門對面公車亭旁),121.5025592,25.0892463,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,重慶北路,四段78號,121.513012,25.082169,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,五段2之1號福德綠地前左邊4公尺,121.511347,25.079076,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,重慶北路,四段60號,121.513168,25.081529,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,重慶北路,四段54號,121.513305,25.081281,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,環河北路,三段95號前左側樓梯下,121.507081,25.083452,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,環河北路,三段95號前左側樓梯下,121.507091,25.083424,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,五段271號,121.5096045,25.0852782,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,五段269號,121.509601,25.085285,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,延平北路,五段2之1號 福德綠地前,121.512212,25.082908,嚴禁投入家用垃圾，違者重罰新台幣6000元
